zip,type,primary_city,state,county,latitude,longitude,world_region,country,decommissioned,estimated_population
00544,UNIQUE,Holtsville,NY,Suffolk County,40.81,-73.04,NA,US,0,0
00601,STANDARD,Adjuntas,PR,Adjuntas,18.16,-66.72,NA,US,0,0
00602,STANDARD,Aguada,PR,,18.38,-67.18,NA,US,0,0
00603,STANDARD,Aguadilla,PR,Aguadilla,18.43,-67.15,NA,US,0,0
00604,PO BOX,Aguadilla,PR,,18.43,-67.15,NA,US,0,0
00605,PO BOX,Aguadilla,PR,,18.43,-67.15,NA,US,0,0
00606,STANDARD,Maricao,PR,Maricao,18.18,-66.98,NA,US,0,0
00610,STANDARD,Anasco,PR,,18.28,-67.14,NA,US,0,0
00611,PO BOX,Angeles,PR,,18.28,-66.79,NA,US,0,0
00612,STANDARD,Arecibo,PR,Arecibo,18.45,-66.73,NA,US,0,0
00613,PO BOX,Arecibo,PR,,18.45,-66.73,NA,US,0,0
00614,PO BOX,Arecibo,PR,,18.45,-66.73,NA,US,0,0
00616,STANDARD,Bajadero,PR,Arecibo,18.4,-66.66,NA,US,0,0
00617,STANDARD,Barceloneta,PR,Barceloneta,18.45,-66.53,NA,US,0,0
00622,STANDARD,Boqueron,PR,,17.99,-67.15,NA,US,0,0
00623,STANDARD,Cabo Rojo,PR,,18.08,-67.14,NA,US,0,0
00624,STANDARD,Penuelas,PR,,18.06,-66.72,NA,US,0,0
00627,STANDARD,Camuy,PR,,18.48,-66.84,NA,US,0,0
00631,PO BOX,Castaner,PR,,18.19,-66.82,NA,US,0,0
00636,PO BOX,Rosario,PR,,18.15,-67.06,NA,US,0,0
00637,STANDARD,Sabana Grande,PR,,18.08,-66.96,NA,US,0,0
00638,STANDARD,Ciales,PR,,18.33,-66.47,NA,US,0,0
00641,STANDARD,Utuado,PR,,18.27,-66.7,NA,US,0,0
00646,STANDARD,Dorado,PR,,18.47,-66.27,NA,US,0,0
00647,STANDARD,Ensenada,PR,,17.96,-66.94,NA,US,0,0
00650,STANDARD,Florida,PR,,18.36,-66.56,NA,US,0,0
00652,STANDARD,Garrochales,PR,Arecibo,18.45,-66.6,NA,US,0,0
00653,STANDARD,Guanica,PR,,17.97,-66.93,NA,US,0,0
